Pokemon,Game Title, Description
フシギダネ,赤・緑, うまれたときから せなかに しょくぶつの タネが あって すこしづつ おおきく そだつ。
フシギダネ,赤・緑(かな), うまれたときから せなかに しょくぶつの タネが あって すこしずつ おおきく そだつ。
フシギダネ,赤・緑(漢字), 生まれたときから 背中に 植物の タネが あって 少しずつ 大きく 育つ。
フシギダネ,ファイアレッド, うまれたときから せなかに しょくぶつの タネが あって すこしづつ おおきく そだつ。
フシギダネ,ファイアレッド(かな), うまれたときから せなかに しょくぶつの タネが あって すこしずつ おおきく そだつ。
フシギダネ,ファイアレッド(漢字), 生まれたときから 背中に 植物の タネが あって 少しずつ 大きく 育つ。
フシギダネ,ソード, うまれたときから せなかに しょくぶつの タネが あって すこしづつ おおきく そだつ。
フシギダネ,ソード(かな), うまれたときから せなかに しょくぶつの タネが あって すこしずつ おおきく そだつ。
フシギダネ,ソード(漢字), 生まれたときから 背中に 植物の タネが あって 少しずつ 大きく 育つ。
フシギダネ,青, うまれたときから せなかに ふしぎな タネが うえてあって からだと ともに そだつという。
フシギダネ,青(漢字), 生まれたときから 背中に 不思議な タネが 植えてあって 体と ともに 育つという。
フシギダネ,リーフグリーン, うまれたときから せなかに ふしぎな タネが うえてあって からだと ともに そだつという。
フシギダネ,リーフグリーン(漢字), 生まれたときから 背中に 不思議な タネが 植えてあって 体と ともに 育つという。
フシギダネ,X, うまれたときから せなかに ふしぎな タネが うえてあって からだと ともに そだつという。
フシギダネ,X(漢字), 生まれたときから 背中に 不思議な タネが 植えてあって 体と ともに 育つという。
フシギダネ,ポケモンスタジアム, せなかの きゅうこんのような ふくろは からだと ともに そだつ。なかには タネが たくさん はいっている。
フシギダネ,ポケモンスタジアム2, せなかの きゅうこんのような ふくろは からだと ともに そだつ。なかには タネが たくさん はいっている。
フシギダネ,ピカチュウ, なんにちだって なにも たべなくても げんき! せなかのタネに たくさん えいようが あるから へいきだ!
フシギダネ,ピカチュウ(漢字), 何日だって なにも 食べなくても 元気! 背中のタネに たくさん 栄養が あるから 平気だ!
フシギダネ,ポケモンピンボール, なんにちだって なにも たべなくても げんき! せなかのタネに たくさん えいようが あるから へいきだ!
フシギダネ,ポケモンピンボール(漢字), 何日だって なにも 食べなくても 元気! 背中のタネに たくさん 栄養が あるから 平気だ!
フシギダネ,Let's Go! ピカチュウ・Let's Go! イーブイ, なんにちだって なにも たべなくても げんき! せなかのタネに たくさん えいようが あるから へいきだ!
フシギダネ,Let's Go! ピカチュウ・Let's Go! イーブイ(漢字), 何日だって なにも 食べなくても 元気! 背中のタネに たくさん 栄養が あるから 平気だ!
フシギダネ,金, せなかの たねの なかには えいようが たっぷり。たねは からだと いっしょに おおきくなる。
フシギダネ,ハートゴールド, せなかの たねの なかには えいようが たっぷり。たねは からだと いっしょに おおきくなる。
フシギダネ,銀, うまれたときから せなかに タネを せおっている。からだが おおきく そだつごとに タネも おおきくなる。
フシギダネ,銀(漢字), 生まれたときから 背中に タネを 背負っている。 体が 大きく 育つごとに タネも 大きくなる。
フシギダネ,ソウルシルバー, うまれたときから せなかに タネを せおっている。からだが おおきく そだつごとに タネも おおきくなる。
フシギダネ,ソウルシルバー(漢字), 生まれたときから 背中に タネを 背負っている。 体が 大きく 育つごとに タネも 大きくなる。
フシギダネ,バイオレット, うまれたときから せなかに タネを せおっている。からだが おおきく そだつごとに タネも おおきくなる。
フシギダネ,バイオレット(漢字), 生まれたときから 背中に タネを 背負っている。 体が 大きく 育つごとに タネも 大きくなる。
フシギダネ,クリスタル, うまれて しばらくの あいだ せなかの タネに つまった えいようを とって そだつ。
フシギダネ,クリスタル(漢字), 生まれて しばらくの あいだ 背中の タネに つまった 栄養を とって 育つ。
フシギダネ,クリスタル(漢字), 生まれて しばらくの あいだ 背中の タネに 詰まった 栄養を 取って 育つ。
フシギダネ,シールド, うまれて しばらくの あいだ せなかの タネに つまった えいようを とって そだつ。
フシギダネ,シールド(漢字), 生まれて しばらくの あいだ 背中の タネに つまった 栄養を とって 育つ。
フシギダネ,シールド(漢字), 生まれて しばらくの あいだ 背中の タネに 詰まった 栄養を 取って 育つ。
フシギダネ,スカーレット, うまれて しばらくの あいだ せなかの タネに つまった えいようを とって そだつ。
フシギダネ,スカーレット(漢字), 生まれて しばらくの あいだ 背中の タネに つまった 栄養を とって 育つ。
フシギダネ,スカーレット(漢字), 生まれて しばらくの あいだ 背中の タネに 詰まった 栄養を 取って 育つ。
フシギダネ,ルビー・サファイア, ひなたで ひるねを する すがたを みかける。 たいようの ひかりを いっぱい あびることで せなかの タネが おおきく そだつのだ。
フシギダネ,ルビー・サファイア(漢字), 日なたで 昼寝を する 姿を 見かける。 太陽の 光を いっぱい 浴びることで 背中の タネが 大きく 育つのだ。
フシギダネ,エメラルド, ひなたで ひるねを する すがたを みかける。 たいようの ひかりを いっぱい あびることで せなかの タネが おおきく そだつのだ。
フシギダネ,エメラルド(漢字), 日なたで 昼寝を する 姿を 見かける。 太陽の 光を いっぱい 浴びることで 背中の タネが 大きく 育つのだ。
フシギダネ,オメガルビー・アルファサファイア, ひなたで ひるねを する すがたを みかける。 たいようの ひかりを いっぱい あびることで せなかの タネが おおきく そだつのだ。
フシギダネ,オメガルビー・アルファサファイア(漢字), 日なたで 昼寝を する 姿を 見かける。 太陽の 光を いっぱい 浴びることで 背中の タネが 大きく 育つのだ。
フシギダネ,ポケモンレンジャー, ツルを のばす こうげきで キャプチャの じゃまを してくるぞ!
フシギダネ,ダイヤモンド・パール, うまれてから しばらくの あいだは せなかの タネから えいようを もらって おおきく そだつ。
フシギダネ,ダイヤモンド・パール(漢字), 生まれてから しばらくの あいだは 背中の タネから 栄養をもらって 大きく 育つ。
フシギダネ,ダイヤモンド・パール(漢字), 生まれてから しばらくの あいだは 背中の タネから 栄養を もらって 大きく 育つ。
フシギダネ,プラチナ, うまれてから しばらくの あいだは せなかの タネから えいようを もらって おおきく そだつ。
フシギダネ,プラチナ(漢字), 生まれてから しばらくの あいだは 背中の タネから 栄養をもらって 大きく 育つ。
フシギダネ,プラチナ(漢字), 生まれてから しばらくの あいだは 背中の タネから 栄養を もらって 大きく 育つ。
